2025-07-20 13:50:59,842 - INFO - 🚀 Starting tracker server (attempt 1)
2025-07-20 13:50:59,842 - INFO - 🚀 Starting Super Metroid Tracker Server...
2025-07-20 13:50:59,845 - INFO - ✅ Server started successfully:
2025-07-20 13:50:59,845 - INFO -    📱 Tracker UI: http://localhost:3000/
2025-07-20 13:50:59,845 - INFO -    📊 API Status: http://localhost:3000/api/status
2025-07-20 13:50:59,845 - INFO -    📈 API Stats:  http://localhost:3000/api/stats
2025-07-20 13:50:59,845 - INFO -    ⏹️  Press Ctrl+C to stop
2025-07-20 13:53:01,152 - INFO - 🚀 Starting tracker server (attempt 1)
2025-07-20 13:53:01,152 - INFO - 🚀 Starting Super Metroid Tracker Server...
2025-07-20 13:53:01,156 - INFO - ✅ Server started successfully:
2025-07-20 13:53:01,156 - INFO -    📱 Tracker UI: http://localhost:3000/
2025-07-20 13:53:01,156 - INFO -    📊 API Status: http://localhost:3000/api/status
2025-07-20 13:53:01,156 - INFO -    📈 API Stats:  http://localhost:3000/api/stats
2025-07-20 13:53:01,156 - INFO -    ⏹️  Press Ctrl+C to stop
2025-07-20 15:01:14,506 - WARNING - No stats available, using fallback
2025-07-20 15:02:14,508 - WARNING - No stats available, using fallback
2025-07-20 15:03:14,499 - WARNING - No stats available, using fallback
2025-07-20 15:04:14,501 - WARNING - No stats available, using fallback
2025-07-20 15:05:14,502 - WARNING - No stats available, using fallback
2025-07-20 15:06:14,504 - WARNING - No stats available, using fallback
2025-07-20 15:07:14,505 - WARNING - No stats available, using fallback
2025-07-20 15:08:14,502 - WARNING - No stats available, using fallback
2025-07-20 15:09:14,503 - WARNING - No stats available, using fallback
2025-07-20 15:10:14,507 - WARNING - No stats available, using fallback
2025-07-20 15:11:14,508 - WARNING - No stats available, using fallback
2025-07-20 15:12:14,509 - WARNING - No stats available, using fallback
2025-07-20 15:13:14,509 - WARNING - No stats available, using fallback
2025-07-20 15:14:14,517 - WARNING - No stats available, using fallback
2025-07-20 15:15:14,518 - WARNING - No stats available, using fallback
2025-07-20 15:32:21,495 - WARNING - No stats available, using fallback
2025-07-20 15:34:58,484 - WARNING - No stats available, using fallback
2025-07-20 15:35:58,472 - WARNING - No stats available, using fallback
2025-07-20 15:36:58,473 - WARNING - No stats available, using fallback
2025-07-20 15:37:58,491 - WARNING - No stats available, using fallback
2025-07-20 15:38:58,476 - WARNING - No stats available, using fallback
2025-07-20 15:39:58,486 - WARNING - No stats available, using fallback
2025-07-20 15:40:58,486 - WARNING - No stats available, using fallback
2025-07-20 15:42:42,263 - WARNING - No stats available, using fallback
2025-07-20 15:45:24,064 - WARNING - No stats available, using fallback
2025-07-20 15:46:24,056 - WARNING - No stats available, using fallback
2025-07-20 15:47:24,059 - WARNING - No stats available, using fallback
2025-07-20 15:48:24,059 - WARNING - No stats available, using fallback
2025-07-20 15:49:24,062 - WARNING - No stats available, using fallback
2025-07-20 15:50:24,063 - WARNING - No stats available, using fallback
2025-07-20 15:51:24,053 - WARNING - No stats available, using fallback
2025-07-20 15:52:24,057 - WARNING - No stats available, using fallback
2025-07-20 15:53:24,053 - WARNING - No stats available, using fallback
2025-07-20 15:54:24,057 - WARNING - No stats available, using fallback
2025-07-20 15:55:24,009 - WARNING - No stats available, using fallback
2025-07-20 15:56:24,014 - WARNING - No stats available, using fallback
2025-07-20 15:57:24,016 - WARNING - No stats available, using fallback
2025-07-20 15:58:24,008 - WARNING - No stats available, using fallback
2025-07-20 15:59:24,003 - WARNING - No stats available, using fallback
2025-07-20 16:00:24,004 - WARNING - No stats available, using fallback
2025-07-20 16:01:24,006 - WARNING - No stats available, using fallback
2025-07-20 16:02:24,010 - WARNING - No stats available, using fallback
2025-07-20 16:03:24,015 - WARNING - No stats available, using fallback
2025-07-20 16:04:24,013 - WARNING - No stats available, using fallback
2025-07-20 16:05:24,000 - WARNING - No stats available, using fallback
2025-07-20 16:06:24,002 - WARNING - No stats available, using fallback
2025-07-20 16:07:24,001 - WARNING - No stats available, using fallback
2025-07-20 16:08:24,005 - WARNING - No stats available, using fallback
2025-07-20 16:09:24,009 - WARNING - No stats available, using fallback
2025-07-20 16:10:24,009 - WARNING - No stats available, using fallback
2025-07-20 16:11:23,995 - WARNING - No stats available, using fallback
2025-07-20 16:12:24,011 - WARNING - No stats available, using fallback
2025-07-20 16:13:23,996 - WARNING - No stats available, using fallback
2025-07-20 16:14:23,996 - WARNING - No stats available, using fallback
2025-07-20 16:15:23,997 - WARNING - No stats available, using fallback
2025-07-20 16:16:23,998 - WARNING - No stats available, using fallback
2025-07-20 16:17:23,998 - WARNING - No stats available, using fallback
2025-07-20 16:18:23,992 - WARNING - No stats available, using fallback
2025-07-20 16:19:23,996 - WARNING - No stats available, using fallback
2025-07-20 16:20:23,998 - WARNING - No stats available, using fallback
2025-07-20 16:21:23,999 - WARNING - No stats available, using fallback
2025-07-20 16:22:24,002 - WARNING - No stats available, using fallback
2025-07-20 16:23:24,002 - WARNING - No stats available, using fallback
2025-07-20 16:24:24,002 - WARNING - No stats available, using fallback
2025-07-20 16:25:24,002 - WARNING - No stats available, using fallback
2025-07-20 16:26:24,006 - WARNING - No stats available, using fallback
2025-07-20 16:27:23,999 - WARNING - No stats available, using fallback
2025-07-20 16:28:24,002 - WARNING - No stats available, using fallback
2025-07-20 16:29:24,006 - WARNING - No stats available, using fallback
2025-07-20 16:30:23,994 - WARNING - No stats available, using fallback
2025-07-20 16:31:23,992 - WARNING - No stats available, using fallback
2025-07-20 16:32:24,009 - WARNING - No stats available, using fallback
2025-07-20 16:33:23,998 - WARNING - No stats available, using fallback
2025-07-20 16:34:23,997 - WARNING - No stats available, using fallback
2025-07-20 16:35:23,994 - WARNING - No stats available, using fallback
2025-07-20 16:36:23,994 - WARNING - No stats available, using fallback
2025-07-20 16:37:23,995 - WARNING - No stats available, using fallback
2025-07-20 16:38:23,998 - WARNING - No stats available, using fallback
2025-07-20 16:39:23,998 - WARNING - No stats available, using fallback
2025-07-20 16:40:23,996 - WARNING - No stats available, using fallback
2025-07-20 16:41:23,997 - WARNING - No stats available, using fallback
2025-07-20 16:42:23,998 - WARNING - No stats available, using fallback
2025-07-20 16:43:23,999 - WARNING - No stats available, using fallback
2025-07-20 16:44:24,000 - WARNING - No stats available, using fallback
2025-07-20 16:45:23,999 - WARNING - No stats available, using fallback
2025-07-20 16:46:24,001 - WARNING - No stats available, using fallback
2025-07-20 16:46:31,763 - WARNING - No stats available, using fallback
